obat,kontraindikasi
Hydrochlorothiazide,Jangan digunakan pada pasien dengan risiko tinggi perdarahan
Omeprazole,Hindari jika memiliki tukak lambung aktif
Dexamethasone,Hindari pada pasien dengan gagal ginjal berat
Ibuprofen,Hindari pada pasien dengan gagal ginjal berat
Dexamethasone,Hindari jika memiliki alergi terhadap komponen obat
Simvastatin,Hindari jika memiliki alergi terhadap komponen obat
Dexamethasone,Tidak boleh digunakan dengan alkohol
Dexamethasone,Hindari jika memiliki tukak lambung aktif
Prednisone,Jangan digunakan pada anak-anak dengan demam (risiko Reye's syndrome)
Dexamethasone,Hindari pada pasien dengan gagal ginjal berat
Aspirin,Jangan digunakan pada pasien dengan risiko tinggi perdarahan
Doxycycline,Tidak disarankan untuk ibu hamil
Simvastatin,Tidak disarankan untuk ibu hamil
Levothyroxine,Tidak boleh digunakan dengan alkohol
Levothyroxine,Interaksi serius dengan obat pengencer darah
Amoxicillin,Jangan digunakan pada pasien dengan risiko tinggi perdarahan
Losartan,Tidak boleh digunakan dengan alkohol
Metformin,Tidak disarankan untuk ibu hamil
Clopidogrel,Hindari pada pasien dengan gagal ginjal berat
Cetirizine,Tidak boleh digunakan dengan alkohol
Simvastatin,Interaksi serius dengan obat pengencer darah
Ibuprofen,Hindari pada pasien dengan gagal ginjal berat
Levothyroxine,Hindari pada pasien dengan gagal ginjal berat
Warfarin,Hindari pada pasien dengan gagal ginjal berat
Amoxicillin,Hindari pada pasien dengan gagal ginjal berat
Ciprofloxacin,Tidak boleh digunakan dengan alkohol
Paracetamol,Tidak disarankan untuk ibu hamil
Losartan,Dapat meningkatkan risiko serangan jantung pada penggunaan jangka panjang
Aspirin,Dapat meningkatkan risiko serangan jantung pada penggunaan jangka panjang
Cetirizine,Hindari jika memiliki gangguan hati berat
Paracetamol,Tidak boleh digunakan dengan alkohol
Prednisone,Interaksi serius dengan obat pengencer darah
Simvastatin,Tidak disarankan untuk ibu hamil
Doxycycline,Jangan digunakan pada pasien dengan risiko tinggi perdarahan
Ibuprofen,Jangan digunakan pada pasien dengan risiko tinggi perdarahan
Prednisone,Jangan digunakan pada anak-anak dengan demam (risiko Reye's syndrome)
Cetirizine,Hindari jika memiliki gangguan hati berat
Diazepam,Jangan digunakan pada pasien dengan risiko tinggi perdarahan
Simvastatin,Hindari jika memiliki tukak lambung aktif
Dexamethasone,Dapat meningkatkan risiko serangan jantung pada penggunaan jangka panjang
Warfarin,Jangan digunakan pada anak-anak dengan demam (risiko Reye's syndrome)
Metoprolol,Dapat meningkatkan risiko serangan jantung pada penggunaan jangka panjang
Warfarin,Tidak disarankan untuk ibu hamil
Metoprolol,Hindari jika memiliki alergi terhadap komponen obat
Aspirin,Dapat meningkatkan risiko serangan jantung pada penggunaan jangka panjang
Warfarin,Hindari jika memiliki alergi terhadap komponen obat
Paracetamol,Dapat meningkatkan risiko serangan jantung pada penggunaan jangka panjang
Diazepam,Tidak disarankan untuk ibu hamil
Metformin,Hindari jika memiliki alergi terhadap komponen obat
Warfarin,Tidak disarankan untuk ibu hamil
Paracetamol,Interaksi serius dengan obat pengencer darah
Ibuprofen,Tidak boleh digunakan dengan alkohol
Metformin,Hindari jika memiliki tukak lambung aktif
Aspirin,Tidak disarankan untuk ibu hamil
Ciprofloxacin,Tidak boleh digunakan dengan alkohol
Cetirizine,Dapat meningkatkan risiko serangan jantung pada penggunaan jangka panjang
Diazepam,Jangan digunakan pada pasien dengan risiko tinggi perdarahan
Omeprazole,Hindari pada pasien dengan gagal ginjal berat
Levothyroxine,Tidak disarankan untuk ibu hamil
Prednisone,Hindari pada pasien dengan gagal ginjal berat
Cetirizine,Hindari jika memiliki alergi terhadap komponen obat
Metoprolol,Tidak boleh digunakan dengan alkohol
Clopidogrel,Hindari jika memiliki gangguan hati berat
Dexamethasone,Dapat meningkatkan risiko serangan jantung pada penggunaan jangka panjang
Omeprazole,Hindari jika memiliki gangguan hati berat
Aspirin,Tidak boleh digunakan dengan alkohol
Metoprolol,Hindari pada pasien dengan gagal ginjal berat
Losartan,Hindari pada pasien dengan gagal ginjal berat
Furosemide,Hindari jika memiliki gangguan hati berat
Simvastatin,Hindari jika memiliki alergi terhadap komponen obat
Omeprazole,Tidak disarankan untuk ibu hamil
Aspirin,Interaksi serius dengan obat pengencer darah
Metoprolol,Hindari jika memiliki tukak lambung aktif
Hydrochlorothiazide,Tidak boleh digunakan dengan alkohol
Aspirin,Hindari jika memiliki gangguan hati berat
Diazepam,Jangan digunakan pada pasien dengan risiko tinggi perdarahan
Cetirizine,Interaksi serius dengan obat pengencer darah
Dexamethasone,Tidak boleh digunakan dengan alkohol
Aspirin,Jangan digunakan pada pasien dengan risiko tinggi perdarahan
Paracetamol,Tidak disarankan untuk ibu hamil
Aspirin,Tidak disarankan untuk ibu hamil
Aspirin,Jangan digunakan pada pasien dengan risiko tinggi perdarahan
Doxycycline,Tidak disarankan untuk ibu hamil
Omeprazole,Tidak disarankan untuk ibu hamil
Warfarin,Tidak disarankan untuk ibu hamil
Levothyroxine,Tidak boleh digunakan dengan alkohol
Amoxicillin,Hindari jika memiliki gangguan hati berat
Clopidogrel,Jangan digunakan pada anak-anak dengan demam (risiko Reye's syndrome)
Cetirizine,Tidak boleh digunakan dengan alkohol
Hydrochlorothiazide,Tidak disarankan untuk ibu hamil
Furosemide,Dapat meningkatkan risiko serangan jantung pada penggunaan jangka panjang
Omeprazole,Tidak boleh digunakan dengan alkohol
Levothyroxine,Jangan digunakan pada pasien dengan risiko tinggi perdarahan
Warfarin,Hindari jika memiliki alergi terhadap komponen obat
Metformin,Tidak boleh digunakan dengan alkohol
Furosemide,Interaksi serius dengan obat pengencer darah
Amoxicillin,Tidak boleh digunakan dengan alkohol
Furosemide,Hindari jika memiliki alergi terhadap komponen obat
Paracetamol,Interaksi serius dengan obat pengencer darah
Diazepam,Hindari jika memiliki tukak lambung aktif
Doxycycline,Jangan digunakan pada anak-anak dengan demam (risiko Reye's syndrome)
Levothyroxine,Hindari pada pasien dengan gagal ginjal berat
Omeprazole,Hindari jika memiliki gangguan hati berat
Ciprofloxacin,Hindari pada pasien dengan gagal ginjal berat
Dexamethasone,Dapat meningkatkan risiko serangan jantung pada penggunaan jangka panjang
Hydrochlorothiazide,Hindari pada pasien dengan gagal ginjal berat
Hydrochlorothiazide,Dapat meningkatkan risiko serangan jantung pada penggunaan jangka panjang
Hydrochlorothiazide,Jangan digunakan pada anak-anak dengan demam (risiko Reye's syndrome)
Diazepam,Dapat meningkatkan risiko serangan jantung pada penggunaan jangka panjang
Omeprazole,Hindari jika memiliki alergi terhadap komponen obat
Paracetamol,Jangan digunakan pada pasien dengan risiko tinggi perdarahan
Warfarin,Dapat meningkatkan risiko serangan jantung pada penggunaan jangka panjang
Metoprolol,Interaksi serius dengan obat pengencer darah
Ibuprofen,Hindari pada pasien dengan gagal ginjal berat
Doxycycline,Dapat meningkatkan risiko serangan jantung pada penggunaan jangka panjang
Aspirin,Hindari pada pasien dengan gagal ginjal berat
Levothyroxine,Jangan digunakan pada anak-anak dengan demam (risiko Reye's syndrome)
Furosemide,Hindari pada pasien dengan gagal ginjal berat
Amoxicillin,Hindari pada pasien dengan gagal ginjal berat
Simvastatin,Hindari jika memiliki tukak lambung aktif
Levothyroxine,Jangan digunakan pada pasien dengan risiko tinggi perdarahan
Losartan,Interaksi serius dengan obat pengencer darah
Losartan,Jangan digunakan pada pasien dengan risiko tinggi perdarahan
Amoxicillin,Jangan digunakan pada pasien dengan risiko tinggi perdarahan
Warfarin,Jangan digunakan pada anak-anak dengan demam (risiko Reye's syndrome)
Aspirin,Jangan digunakan pada anak-anak dengan demam (risiko Reye's syndrome)
Clopidogrel,Hindari jika memiliki tukak lambung aktif
Furosemide,Hindari jika memiliki gangguan hati berat
Cetirizine,Tidak disarankan untuk ibu hamil
Prednisone,Jangan digunakan pada anak-anak dengan demam (risiko Reye's syndrome)
Diazepam,Dapat meningkatkan risiko serangan jantung pada penggunaan jangka panjang
Dexamethasone,Interaksi serius dengan obat pengencer darah
Clopidogrel,Hindari jika memiliki alergi terhadap komponen obat
Omeprazole,Hindari pada pasien dengan gagal ginjal berat
Ibuprofen,Hindari jika memiliki tukak lambung aktif
Clopidogrel,Hindari pada pasien dengan gagal ginjal berat
Diazepam,Tidak boleh digunakan dengan alkohol
Metformin,Hindari jika memiliki alergi terhadap komponen obat
Aspirin,Interaksi serius dengan obat pengencer darah
Simvastatin,Tidak disarankan untuk ibu hamil
Hydrochlorothiazide,Hindari pada pasien dengan gagal ginjal berat
Losartan,Hindari jika memiliki gangguan hati berat
Metoprolol,Hindari jika memiliki tukak lambung aktif
Amoxicillin,Dapat meningkatkan risiko serangan jantung pada penggunaan jangka panjang
Cetirizine,Interaksi serius dengan obat pengencer darah
Ciprofloxacin,Interaksi serius dengan obat pengencer darah
Diazepam,Hindari pada pasien dengan gagal ginjal berat
Doxycycline,Hindari jika memiliki alergi terhadap komponen obat
Ibuprofen,Hindari jika memiliki tukak lambung aktif
Amoxicillin,Dapat meningkatkan risiko serangan jantung pada penggunaan jangka panjang
Diazepam,Jangan digunakan pada pasien dengan risiko tinggi perdarahan
Ibuprofen,Jangan digunakan pada anak-anak dengan demam (risiko Reye's syndrome)
Furosemide,Hindari pada pasien dengan gagal ginjal berat
Amoxicillin,Tidak disarankan untuk ibu hamil
Ciprofloxacin,Interaksi serius dengan obat pengencer darah
Amoxicillin,Tidak disarankan untuk ibu hamil
Furosemide,Hindari jika memiliki gangguan hati berat
Metoprolol,Hindari pada pasien dengan gagal ginjal berat
Furosemide,Dapat meningkatkan risiko serangan jantung pada penggunaan jangka panjang
Ciprofloxacin,Hindari jika memiliki gangguan hati berat
Prednisone,Interaksi serius dengan obat pengencer darah
Diazepam,Hindari pada pasien dengan gagal ginjal berat
Metformin,Hindari jika memiliki gangguan hati berat
Levothyroxine,Tidak disarankan untuk ibu hamil
Doxycycline,Interaksi serius dengan obat pengencer darah
Dexamethasone,Tidak disarankan untuk ibu hamil
Paracetamol,Hindari jika memiliki tukak lambung aktif
Prednisone,Tidak disarankan untuk ibu hamil
Omeprazole,Jangan digunakan pada anak-anak dengan demam (risiko Reye's syndrome)
Simvastatin,Hindari jika memiliki tukak lambung aktif
Prednisone,Jangan digunakan pada anak-anak dengan demam (risiko Reye's syndrome)
Furosemide,Dapat meningkatkan risiko serangan jantung pada penggunaan jangka panjang
Ibuprofen,Hindari jika memiliki gangguan hati berat
Amoxicillin,Hindari jika memiliki alergi terhadap komponen obat
Clopidogrel,Tidak disarankan untuk ibu hamil
Levothyroxine,Dapat meningkatkan risiko serangan jantung pada penggunaan jangka panjang
Omeprazole,Hindari jika memiliki alergi terhadap komponen obat
Losartan,Hindari jika memiliki tukak lambung aktif
Furosemide,Hindari jika memiliki tukak lambung aktif
Prednisone,Jangan digunakan pada pasien dengan risiko tinggi perdarahan
Warfarin,Hindari jika memiliki tukak lambung aktif
Hydrochlorothiazide,Interaksi serius dengan obat pengencer darah
Metoprolol,Hindari pada pasien dengan gagal ginjal berat
Amoxicillin,Dapat meningkatkan risiko serangan jantung pada penggunaan jangka panjang
Aspirin,Jangan digunakan pada anak-anak dengan demam (risiko Reye's syndrome)
Hydrochlorothiazide,Jangan digunakan pada anak-anak dengan demam (risiko Reye's syndrome)
Levothyroxine,Interaksi serius dengan obat pengencer darah
Metformin,Hindari pada pasien dengan gagal ginjal berat
Ibuprofen,Hindari jika memiliki tukak lambung aktif
Paracetamol,Jangan digunakan pada anak-anak dengan demam (risiko Reye's syndrome)
Levothyroxine,Hindari jika memiliki gangguan hati berat
Cetirizine,Jangan digunakan pada anak-anak dengan demam (risiko Reye's syndrome)
Metoprolol,Hindari jika memiliki gangguan hati berat
Losartan,Hindari pada pasien dengan gagal ginjal berat
Warfarin,Hindari jika memiliki gangguan hati berat
Levothyroxine,Hindari jika memiliki alergi terhadap komponen obat
Metoprolol,Hindari pada pasien dengan gagal ginjal berat
Paracetamol,Hindari pada pasien dengan gagal ginjal berat
Hydrochlorothiazide,Jangan digunakan pada anak-anak dengan demam (risiko Reye's syndrome)
Metformin,Hindari jika memiliki tukak lambung aktif
Simvastatin,Jangan digunakan pada anak-anak dengan demam (risiko Reye's syndrome)
Omeprazole,Hindari jika memiliki alergi terhadap komponen obat
Hydrochlorothiazide,Interaksi serius dengan obat pengencer darah
Aspirin,Interaksi serius dengan obat pengencer darah
Aspirin,Tidak disarankan untuk ibu hamil
Hydrochlorothiazide,Jangan digunakan pada pasien dengan risiko tinggi perdarahan
Omeprazole,Interaksi serius dengan obat pengencer darah
Aspirin,Jangan digunakan pada pasien dengan risiko tinggi perdarahan
Metformin,Tidak boleh digunakan dengan alkohol
Levothyroxine,Interaksi serius dengan obat pengencer darah
Levothyroxine,Interaksi serius dengan obat pengencer darah
Dexamethasone,Interaksi serius dengan obat pengencer darah
Losartan,Interaksi serius dengan obat pengencer darah
Simvastatin,Hindari jika memiliki gangguan hati berat
Warfarin,Jangan digunakan pada pasien dengan risiko tinggi perdarahan
Dexamethasone,Tidak boleh digunakan dengan alkohol
Furosemide,Dapat meningkatkan risiko serangan jantung pada penggunaan jangka panjang
Metoprolol,Tidak disarankan untuk ibu hamil
Diazepam,Hindari jika memiliki tukak lambung aktif
Levothyroxine,Hindari jika memiliki gangguan hati berat
Amoxicillin,Jangan digunakan pada pasien dengan risiko tinggi perdarahan
Ibuprofen,Hindari jika memiliki tukak lambung aktif
Cetirizine,Hindari pada pasien dengan gagal ginjal berat
Aspirin,Jangan digunakan pada anak-anak dengan demam (risiko Reye's syndrome)
Levothyroxine,Dapat meningkatkan risiko serangan jantung pada penggunaan jangka panjang
Omeprazole,Tidak disarankan untuk ibu hamil
Amoxicillin,Jangan digunakan pada anak-anak dengan demam (risiko Reye's syndrome)
Dexamethasone,Jangan digunakan pada anak-anak dengan demam (risiko Reye's syndrome)
Warfarin,Hindari jika memiliki alergi terhadap komponen obat
Clopidogrel,Tidak disarankan untuk ibu hamil
Ibuprofen,Hindari jika memiliki alergi terhadap komponen obat
Ciprofloxacin,Jangan digunakan pada anak-anak dengan demam (risiko Reye's syndrome)
Ibuprofen,Jangan digunakan pada anak-anak dengan demam (risiko Reye's syndrome)
Losartan,Hindari jika memiliki gangguan hati berat
Doxycycline,Tidak boleh digunakan dengan alkohol
Doxycycline,Interaksi serius dengan obat pengencer darah
Losartan,Interaksi serius dengan obat pengencer darah
Hydrochlorothiazide,Tidak boleh digunakan dengan alkohol
Losartan,Dapat meningkatkan risiko serangan jantung pada penggunaan jangka panjang
Simvastatin,Hindari pada pasien dengan gagal ginjal berat
Losartan,Interaksi serius dengan obat pengencer darah
Ciprofloxacin,Tidak boleh digunakan dengan alkohol
Warfarin,Hindari pada pasien dengan gagal ginjal berat
Warfarin,Jangan digunakan pada pasien dengan risiko tinggi perdarahan
Metoprolol,Jangan digunakan pada anak-anak dengan demam (risiko Reye's syndrome)
Losartan,Interaksi serius dengan obat pengencer darah
Clopidogrel,Dapat meningkatkan risiko serangan jantung pada penggunaan jangka panjang
Metoprolol,Hindari pada pasien dengan gagal ginjal berat
Cetirizine,Tidak boleh digunakan dengan alkohol
Ciprofloxacin,Tidak disarankan untuk ibu hamil
Warfarin,Tidak disarankan untuk ibu hamil
Clopidogrel,Hindari jika memiliki gangguan hati berat
Warfarin,Tidak boleh digunakan dengan alkohol
Furosemide,Tidak boleh digunakan dengan alkohol
Levothyroxine,Jangan digunakan pada anak-anak dengan demam (risiko Reye's syndrome)
Amoxicillin,Hindari pada pasien dengan gagal ginjal berat
Simvastatin,Hindari jika memiliki gangguan hati berat
Levothyroxine,Jangan digunakan pada pasien dengan risiko tinggi perdarahan
Levothyroxine,Tidak boleh digunakan dengan alkohol
Cetirizine,Interaksi serius dengan obat pengencer darah
Clopidogrel,Hindari jika memiliki gangguan hati berat
Dexamethasone,Tidak boleh digunakan dengan alkohol
Diazepam,Tidak boleh digunakan dengan alkohol
Doxycycline,Hindari pada pasien dengan gagal ginjal berat
Losartan,Hindari jika memiliki alergi terhadap komponen obat
Metformin,Hindari jika memiliki gangguan hati berat
Cetirizine,Dapat meningkatkan risiko serangan jantung pada penggunaan jangka panjang
Aspirin,Hindari jika memiliki alergi terhadap komponen obat
Dexamethasone,Hindari pada pasien dengan gagal ginjal berat
Cetirizine,Hindari pada pasien dengan gagal ginjal berat
Metformin,Interaksi serius dengan obat pengencer darah
Ciprofloxacin,Hindari jika memiliki tukak lambung aktif
Metoprolol,Jangan digunakan pada anak-anak dengan demam (risiko Reye's syndrome)
Clopidogrel,Jangan digunakan pada pasien dengan risiko tinggi perdarahan
Omeprazole,Interaksi serius dengan obat pengencer darah
Ibuprofen,Hindari jika memiliki tukak lambung aktif
Doxycycline,Tidak disarankan untuk ibu hamil
Warfarin,Interaksi serius dengan obat pengencer darah
Warfarin,Jangan digunakan pada pasien dengan risiko tinggi perdarahan
Simvastatin,Dapat meningkatkan risiko serangan jantung pada penggunaan jangka panjang
Ibuprofen,Hindari jika memiliki gangguan hati berat
Prednisone,Dapat meningkatkan risiko serangan jantung pada penggunaan jangka panjang
Doxycycline,Tidak boleh digunakan dengan alkohol
Levothyroxine,Tidak boleh digunakan dengan alkohol
Dexamethasone,Hindari jika memiliki tukak lambung aktif
Amoxicillin,Hindari pada pasien dengan gagal ginjal berat
Metoprolol,Hindari jika memiliki gangguan hati berat
Doxycycline,Dapat meningkatkan risiko serangan jantung pada penggunaan jangka panjang
Omeprazole,Interaksi serius dengan obat pengencer darah
Simvastatin,Hindari pada pasien dengan gagal ginjal berat
Furosemide,Jangan digunakan pada pasien dengan risiko tinggi perdarahan
Paracetamol,Jangan digunakan pada pasien dengan risiko tinggi perdarahan
Warfarin,Jangan digunakan pada pasien dengan risiko tinggi perdarahan
Aspirin,Hindari pada pasien dengan gagal ginjal berat
Clopidogrel,Tidak disarankan untuk ibu hamil
Amoxicillin,Hindari pada pasien dengan gagal ginjal berat
Aspirin,Jangan digunakan pada pasien dengan risiko tinggi perdarahan
Clopidogrel,Dapat meningkatkan risiko serangan jantung pada penggunaan jangka panjang
Paracetamol,Interaksi serius dengan obat pengencer darah
Amoxicillin,Jangan digunakan pada pasien dengan risiko tinggi perdarahan
Losartan,Jangan digunakan pada anak-anak dengan demam (risiko Reye's syndrome)
Prednisone,Hindari jika memiliki gangguan hati berat
Metformin,Interaksi serius dengan obat pengencer darah
Aspirin,Tidak disarankan untuk ibu hamil
Ciprofloxacin,Tidak disarankan untuk ibu hamil
Warfarin,Jangan digunakan pada anak-anak dengan demam (risiko Reye's syndrome)
Omeprazole,Interaksi serius dengan obat pengencer darah
Diazepam,Hindari jika memiliki gangguan hati berat
Hydrochlorothiazide,Hindari jika memiliki tukak lambung aktif
Losartan,Dapat meningkatkan risiko serangan jantung pada penggunaan jangka panjang
Diazepam,Hindari jika memiliki gangguan hati berat
Paracetamol,Tidak disarankan untuk ibu hamil
Ibuprofen,Hindari jika memiliki gangguan hati berat
Ciprofloxacin,Jangan digunakan pada anak-anak dengan demam (risiko Reye's syndrome)
Aspirin,Hindari jika memiliki gangguan hati berat
Amoxicillin,Hindari jika memiliki gangguan hati berat
Dexamethasone,Hindari pada pasien dengan gagal ginjal berat
Prednisone,Hindari jika memiliki alergi terhadap komponen obat
Diazepam,Interaksi serius dengan obat pengencer darah
Levothyroxine,Jangan digunakan pada anak-anak dengan demam (risiko Reye's syndrome)
Paracetamol,Jangan digunakan pada anak-anak dengan demam (risiko Reye's syndrome)
Ibuprofen,Hindari jika memiliki tukak lambung aktif
Ciprofloxacin,Hindari jika memiliki gangguan hati berat
Simvastatin,Hindari jika memiliki gangguan hati berat
Aspirin,Hindari jika memiliki alergi terhadap komponen obat
Diazepam,Jangan digunakan pada anak-anak dengan demam (risiko Reye's syndrome)
Paracetamol,Dapat meningkatkan risiko serangan jantung pada penggunaan jangka panjang
Simvastatin,Hindari pada pasien dengan gagal ginjal berat
Levothyroxine,Hindari pada pasien dengan gagal ginjal berat
Omeprazole,Interaksi serius dengan obat pengencer darah
Dexamethasone,Tidak disarankan untuk ibu hamil
Paracetamol,Hindari jika memiliki alergi terhadap komponen obat
Clopidogrel,Hindari jika memiliki gangguan hati berat
Metoprolol,Dapat meningkatkan risiko serangan jantung pada penggunaan jangka panjang
Diazepam,Tidak disarankan untuk ibu hamil
Paracetamol,Hindari jika memiliki alergi terhadap komponen obat
Aspirin,Hindari pada pasien dengan gagal ginjal berat
Amoxicillin,Tidak boleh digunakan dengan alkohol
Prednisone,Interaksi serius dengan obat pengencer darah
Metoprolol,Hindari jika memiliki tukak lambung aktif
Amoxicillin,Hindari jika memiliki gangguan hati berat
Amoxicillin,Hindari jika memiliki alergi terhadap komponen obat
Metoprolol,Jangan digunakan pada anak-anak dengan demam (risiko Reye's syndrome)
Doxycycline,Jangan digunakan pada anak-anak dengan demam (risiko Reye's syndrome)
Losartan,Hindari pada pasien dengan gagal ginjal berat
Amoxicillin,Dapat meningkatkan risiko serangan jantung pada penggunaan jangka panjang
Metoprolol,Jangan digunakan pada anak-anak dengan demam (risiko Reye's syndrome)
Clopidogrel,Tidak disarankan untuk ibu hamil
Cetirizine,Hindari jika memiliki alergi terhadap komponen obat
Amoxicillin,Hindari jika memiliki alergi terhadap komponen obat
Warfarin,Interaksi serius dengan obat pengencer darah
Amoxicillin,Jangan digunakan pada anak-anak dengan demam (risiko Reye's syndrome)
Metoprolol,Hindari jika memiliki alergi terhadap komponen obat
Levothyroxine,Hindari pada pasien dengan gagal ginjal berat
Simvastatin,Tidak boleh digunakan dengan alkohol
Hydrochlorothiazide,Hindari jika memiliki alergi terhadap komponen obat
Metformin,Tidak boleh digunakan dengan alkohol
Simvastatin,Hindari jika memiliki tukak lambung aktif
Warfarin,Hindari jika memiliki alergi terhadap komponen obat
Cetirizine,Dapat meningkatkan risiko serangan jantung pada penggunaan jangka panjang
Furosemide,Interaksi serius dengan obat pengencer darah
Hydrochlorothiazide,Jangan digunakan pada anak-anak dengan demam (risiko Reye's syndrome)
Aspirin,Interaksi serius dengan obat pengencer darah
Simvastatin,Interaksi serius dengan obat pengencer darah
Warfarin,Hindari jika memiliki alergi terhadap komponen obat
Doxycycline,Jangan digunakan pada pasien dengan risiko tinggi perdarahan
Metformin,Hindari jika memiliki tukak lambung aktif
Levothyroxine,Hindari jika memiliki alergi terhadap komponen obat
Dexamethasone,Interaksi serius dengan obat pengencer darah
Furosemide,Hindari jika memiliki gangguan hati berat
Dexamethasone,Tidak disarankan untuk ibu hamil
Doxycycline,Interaksi serius dengan obat pengencer darah
Aspirin,Hindari jika memiliki tukak lambung aktif
Diazepam,Tidak disarankan untuk ibu hamil
Losartan,Interaksi serius dengan obat pengencer darah
Warfarin,Hindari pada pasien dengan gagal ginjal berat
Ibuprofen,Tidak disarankan untuk ibu hamil
Prednisone,Tidak boleh digunakan dengan alkohol
Paracetamol,Interaksi serius dengan obat pengencer darah
Diazepam,Interaksi serius dengan obat pengencer darah
Aspirin,Hindari pada pasien dengan gagal ginjal berat
Omeprazole,Hindari jika memiliki gangguan hati berat
Clopidogrel,Hindari jika memiliki alergi terhadap komponen obat
Metoprolol,Hindari pada pasien dengan gagal ginjal berat
Hydrochlorothiazide,Hindari jika memiliki alergi terhadap komponen obat
Warfarin,Dapat meningkatkan risiko serangan jantung pada penggunaan jangka panjang
Ibuprofen,Tidak boleh digunakan dengan alkohol
Amoxicillin,Interaksi serius dengan obat pengencer darah
Dexamethasone,Hindari pada pasien dengan gagal ginjal berat
Cetirizine,Interaksi serius dengan obat pengencer darah
Ibuprofen,Jangan digunakan pada pasien dengan risiko tinggi perdarahan
Omeprazole,Tidak disarankan untuk ibu hamil
Metoprolol,Interaksi serius dengan obat pengencer darah
Paracetamol,Tidak disarankan untuk ibu hamil
Clopidogrel,Hindari pada pasien dengan gagal ginjal berat
Aspirin,Hindari pada pasien dengan gagal ginjal berat
Metformin,Dapat meningkatkan risiko serangan jantung pada penggunaan jangka panjang
Warfarin,Dapat meningkatkan risiko serangan jantung pada penggunaan jangka panjang
Diazepam,Jangan digunakan pada pasien dengan risiko tinggi perdarahan
Cetirizine,Interaksi serius dengan obat pengencer darah
Clopidogrel,Jangan digunakan pada pasien dengan risiko tinggi perdarahan
Aspirin,Hindari pada pasien dengan gagal ginjal berat
Cetirizine,Tidak disarankan untuk ibu hamil
Dexamethasone,Tidak boleh digunakan dengan alkohol
Warfarin,Jangan digunakan pada anak-anak dengan demam (risiko Reye's syndrome)
Metformin,Hindari jika memiliki alergi terhadap komponen obat
Clopidogrel,Hindari jika memiliki tukak lambung aktif
Losartan,Hindari pada pasien dengan gagal ginjal berat
Doxycycline,Tidak disarankan untuk ibu hamil
Metformin,Dapat meningkatkan risiko serangan jantung pada penggunaan jangka panjang
Dexamethasone,Hindari pada pasien dengan gagal ginjal berat
Diazepam,Dapat meningkatkan risiko serangan jantung pada penggunaan jangka panjang
Losartan,Hindari jika memiliki alergi terhadap komponen obat
Metoprolol,Jangan digunakan pada anak-anak dengan demam (risiko Reye's syndrome)
Levothyroxine,Hindari jika memiliki gangguan hati berat
Paracetamol,Interaksi serius dengan obat pengencer darah
Omeprazole,Jangan digunakan pada anak-anak dengan demam (risiko Reye's syndrome)
Dexamethasone,Hindari jika memiliki alergi terhadap komponen obat
Furosemide,Jangan digunakan pada pasien dengan risiko tinggi perdarahan
Prednisone,Tidak disarankan untuk ibu hamil
Doxycycline,Hindari jika memiliki gangguan hati berat
Furosemide,Hindari jika memiliki alergi terhadap komponen obat
Omeprazole,Jangan digunakan pada anak-anak dengan demam (risiko Reye's syndrome)
Metoprolol,Dapat meningkatkan risiko serangan jantung pada penggunaan jangka panjang
Cetirizine,Hindari jika memiliki gangguan hati berat
Clopidogrel,Hindari jika memiliki gangguan hati berat
Ibuprofen,Tidak boleh digunakan dengan alkohol
Metformin,Jangan digunakan pada anak-anak dengan demam (risiko Reye's syndrome)
Diazepam,Tidak disarankan untuk ibu hamil
Hydrochlorothiazide,Hindari jika memiliki alergi terhadap komponen obat
Paracetamol,Tidak boleh digunakan dengan alkohol
Ibuprofen,Hindari pada pasien dengan gagal ginjal berat
Prednisone,Tidak disarankan untuk ibu hamil
Omeprazole,Dapat meningkatkan risiko serangan jantung pada penggunaan jangka panjang
Cetirizine,Tidak disarankan untuk ibu hamil
Prednisone,Hindari jika memiliki alergi terhadap komponen obat
Furosemide,Jangan digunakan pada pasien dengan risiko tinggi perdarahan
Levothyroxine,Dapat meningkatkan risiko serangan jantung pada penggunaan jangka panjang
Paracetamol,Tidak disarankan untuk ibu hamil
Losartan,Hindari jika memiliki gangguan hati berat
Paracetamol,Jangan digunakan pada anak-anak dengan demam (risiko Reye's syndrome)
Warfarin,Hindari jika memiliki alergi terhadap komponen obat
Omeprazole,Interaksi serius dengan obat pengencer darah
Hydrochlorothiazide,Hindari jika memiliki tukak lambung aktif
Losartan,Dapat meningkatkan risiko serangan jantung pada penggunaan jangka panjang
Cetirizine,Jangan digunakan pada anak-anak dengan demam (risiko Reye's syndrome)
Levothyroxine,Tidak boleh digunakan dengan alkohol
Metoprolol,Tidak boleh digunakan dengan alkohol
Losartan,Jangan digunakan pada anak-anak dengan demam (risiko Reye's syndrome)
Amoxicillin,Tidak disarankan untuk ibu hamil
Paracetamol,Hindari jika memiliki alergi terhadap komponen obat
Metoprolol,Interaksi serius dengan obat pengencer darah
Levothyroxine,Tidak boleh digunakan dengan alkohol
Cetirizine,Jangan digunakan pada anak-anak dengan demam (risiko Reye's syndrome)
Cetirizine,Tidak disarankan untuk ibu hamil
Furosemide,Hindari pada pasien dengan gagal ginjal berat
Simvastatin,Hindari jika memiliki tukak lambung aktif
Metformin,Jangan digunakan pada anak-anak dengan demam (risiko Reye's syndrome)
